Instructor,Course,Term,Enroll,EvalsMade,RcmndClass,RcmndInstr,StudyHrs/wk,AvgGradeExpected,AvgGradeReceived
"Hill,KimloanT.V.",LIHL134F-AdvVietnamese/VietnameseSpkr(A),FA16,13,4,100.0%,100.0%,7.50,A-(3.75),N/A
"Guajardo,GustavoAriel",LIGN101-Introduction/StudyofLanguage(A),S116,8,8,87.5%,87.5%,6.79,B-(2.86),N/A
"Namboodiripad,Savithry",LIGN8-Languages&Cultures/America(A),S116,47,44,81.4%,88.4%,3.88,B+(3.66),B+(3.66)
"Lepic,RyanC",LIGN120-Morphology(A),SP16,65,53,90.6%,92.5%,5.18,B(3.13),B-(2.91)
"Caponigro,Ivano",LIGN130-Semantics(A),SP16,61,34,94.1%,91.2%,4.50,B(3.29),B(3.16)
"Moore,JohnC.",LIGN150-HistoricalLinguistics(A),SP16,31,19,100.0%,100.0%,5.72,B+(3.61),B(3.26)
"Caballero,GabrielaHernandez",LIGN152-IndigenousLanguages/Americas(A),SP16,13,3,100.0%,100.0%,8.50,B+(3.67),N/A
"Hwang,So-OneKim",LIGN170-Psycholinguistics(A),SP16,55,44,93.2%,84.1%,3.98,B+(3.49),N/A
"Mayberry,Rachel",LIGN171-ChildLanguageAcquisition(A),SP16,57,52,98.1%,90.4%,4.65,B(3.14),B(3.27)
"Kluender,Robert",LIGN4-LanguageasaCognitiveSystem(A),SP16,28,24,95.8%,100.0%,4.33,B(3.00),B-(2.89)
"Goodall,GrantTodd",LIGN5-LinguisticsofInventedLang(A),SP16,29,20,100.0%,100.0%,2.80,A-(3.70),B(3.21)
"Alicio,Atilio",LIHL112P-FilipinoforFilipinoSpeakers(A),SP16,21,6,100.0%,100.0%,2.50,B(3.20),B+(3.36)
"Hill,KimloanT.V.",LIHL114P-BeginningVietnameseforVietn(A),SP16,18,8,100.0%,100.0%,3.17,B+(3.40),N/A
"Sadegholvad,Elham",LIHL117P-PersianforPersianSpeakers(A),SP16,13,5,100.0%,100.0%,7.30,B+(3.50),N/A
